policy,t,median_risk_ratio,q10_risk_ratio,q90_risk_ratio,median_tail_margin_ratio,q10_tail_margin_ratio,q90_tail_margin_ratio,median_lme_error,empirical_ucb_coverage
uniform,29,206612.0301869532,79468.82337980389,236731.63875448442,454.5457822565247,273.30771390128984,486.55070080811475,0.14474422610580662,1.0
uniform,30,206872.55069926011,79596.65752437295,238886.07699219807,454.8321744537778,273.5244973793984,488.7596325050016,0.1418325508144721,1.0
uniform,31,209085.17824364937,79632.12391084299,240114.7147955997,457.2581829722756,273.5915871323757,490.01472493518037,0.1422675830889245,1.0
uniform,32,209697.76220582583,79673.18616059853,242048.58691815316,457.9276487939241,273.67014089680646,491.98428607294295,0.14191176472454667,1.0
uniform,33,210302.22744315397,4355.026019835261,242266.82345178723,458.58710037053635,65.98445647925263,492.2060003251995,0.1415318841376687,1.0
uniform,34,210123.49105597794,3937.1597913439487,242465.78613461708,458.39213738204626,62.74475086039189,492.4080600651535,0.14144472973492106,1.0
uniform,35,211710.81669065493,3854.6276960297537,244054.1567565349,460.12040531566436,62.085021488632826,494.0183768308319,0.13683935412798792,1.0
uniform,36,211919.19898296235,3859.233512421943,244308.40150525255,460.3467751245387,62.122399771652795,494.2756005047379,0.13222931593165332,1.0
uniform,37,212330.24600847604,3862.430375329793,244719.95197616378,460.79306200076496,62.14811061648501,494.69176622407133,0.13087472933476602,1.0
uniform,38,212611.89847343415,3761.554345913482,244871.7084166202,461.0985593127997,61.328217640294454,494.8451266657669,0.1298844749285381,1.0
uniform,39,213232.88258293807,3526.4310300816924,245601.767000135,461.7714152574653,59.38352729612743,495.58224907507247,0.12800176836372046,1.0
uniform,40,213699.7130864711,3271.91441782126,245598.6110512697,462.2766382876467,56.878898747887206,495.57906576373176,0.12678650024388213,1.0
uniform,41,213895.63321130158,1497.0149614306042,246366.17636951918,462.48851739533654,38.69122720577496,496.3528743969352,0.12777564991427381,1.0
uniform,42,214253.26606744295,1484.232440057662,246568.8321574897,462.87495824486837,38.52567920430115,496.55695145649247,0.12726899883888834,1.0
uniform,43,214655.5372050074,1485.46854905399,247385.42482264526,463.30931886637495,38.54171946045342,497.37852959154327,0.1225822135254762,1.0
uniform,44,215348.75021830157,1486.1756593529808,247693.4418443134,464.0567063144572,38.550903478104736,497.6880831427561,0.12284733820937122,1.0
uniform,45,216370.6528317623,1499.8237287759312,248174.3718093732,465.15658791266077,38.72752704208362,498.1710260817089,0.12017325219067562,1.0
uniform,46,217033.403607541,1500.3289462794628,248939.55872026485,465.8684366637324,38.73404992893188,498.9383186341071,0.11849041271852898,1.0
uniform,47,217156.5623454,1504.623143236468,250139.59382288618,466.0006033084241,38.789420413512936,500.1395437230494,0.11855273916341585,1.0
uniform,48,217283.39513965987,1489.7086125276019,250408.87896594687,466.1366681886526,38.59669756606211,500.40869383892067,0.11689274649238657,1.0
uniform,49,217554.69344668876,1469.324400603544,250628.43503891907,466.4275862095773,38.330373651065656,500.6280300732433,0.11701713801752467,1.0
uniform,50,217920.76955863222,1470.8010962082835,251281.01695685775,466.8198343604964,38.3496941142222,501.27929146581283,0.11687844324202035,1.0
uniform,51,218355.13706324837,1398.1652152946363,254250.89965876946,467.2848551262083,37.39204614890527,504.23287235058393,0.11686448110303402,1.0
uniform,52,218934.95444149728,1400.4843843074357,254398.61221521514,467.904823955334,37.42304197046669,504.37931645632887,0.11654223626910293,1.0
uniform,53,219320.79030139343,1400.9332139161174,255537.9630004173,468.3165381843771,37.42903803908124,505.5076198027439,0.11661136550035373,1.0
uniform,54,220075.61386380743,1401.9498640458344,255670.5135174631,469.1220657410365,37.442617139009656,505.63871111399254,0.11628384809489412,1.0
uniform,55,220157.68413597194,1402.541079579986,255877.6025092525,469.2095276801955,37.45051331564143,505.84345441796364,0.11615420624781789,1.0
uniform,56,220891.03523308947,1402.056819944882,256062.11453077508,469.9903561735441,37.444048515326145,506.02580415771007,0.11591121470828525,1.0
uniform,57,221007.32501080746,1402.6056374822888,256171.8809038274,470.1140874863138,37.45137604648222,506.13425157580633,0.11587242237347084,1.0
uniform,58,222142.84409360244,1402.852479148728,256235.63228701326,471.320319020041,37.45466976973407,506.19722650261195,0.11580052119237552,1.0
uniform,59,222728.6343465963,1398.5660205812535,256348.55218474087,471.9413462391014,37.397249891543545,506.3087517558287,0.11574344706390453,1.0
uniform,60,223179.7105921472,1399.3854980721733,257252.9601356514,472.41883319136457,37.40820586191167,507.2010887491925,0.11568002766861485,1.0
uniform,61,223888.54814782378,1375.9478873465544,257479.149429473,473.16856021860553,37.0937714190501,507.42402785485257,0.11567860902807948,1.0
uniform,62,223981.25537914023,1379.611005822875,257550.29311609696,473.26652980594156,37.14311287867963,507.49412481400225,0.11558097489305552,1.0
uniform,63,224091.16634804558,1407.607783056879,257966.21646259038,473.3826404773879,37.51808097084106,507.9037205920401,0.11556526717874589,1.0
uniform,64,225243.86608826567,1408.3475864351897,258494.44424365234,474.59863679638556,37.527937201329955,508.4234886322952,0.11554043709504554,1.0
uniform,65,225319.80121595354,1410.078546800911,258574.71304051156,474.67862931615934,37.550998845775,508.5024216691834,0.1154704342409161,1.0
uniform,66,225579.85244748538,1410.5391814644236,258637.3401632238,474.95245762986195,37.55713111520561,508.5639979550411,0.11546043438614151,1.0
uniform,67,225669.49434445798,1385.2635171416337,258730.08328174934,475.04681160564303,37.219120433342695,508.65516765717734,0.11497151213955212,1.0
uniform,68,225055.34867907525,1394.1534022953576,258813.20994273882,474.39975132037284,37.33836328392193,508.73686864588444,0.11239955439777369,1.0
uniform,69,225619.88707519622,1394.5976425309136,258966.4703185895,474.99461339167857,37.34431198436504,508.88747908539375,0.11022206969367884,1.0
uniform,70,225684.00206865364,1392.8939084220037,259046.99747840682,475.06210081348866,37.321446047722986,508.96659374639813,0.10844346097646275,1.0
uniform,71,226093.4392259441,1378.79866676503,259310.77561527054,475.49267014282555,37.13215428528315,509.2256627538814,0.10846244945004889,1.0
uniform,72,226886.35447313864,1382.8028257626288,259383.04995486568,476.3258747254422,37.18605498037242,509.2966206421424,0.10793937744688417,1.0
uniform,73,226967.91465336725,1379.4554851407433,259687.29139234827,476.41149018220403,37.140999805958614,509.59515441042157,0.10785323205233659,1.0
uniform,74,227221.17488493066,1365.5680573271807,259777.94329221683,476.6772140191936,36.953589423377636,509.6840907469519,0.10797564109833571,1.0
uniform,75,227136.91306246695,1366.2549043856366,259836.07551677534,476.5888258548887,36.96288173431838,509.74111538997465,0.10713475738410107,1.0
uniform,76,227366.60506094678,1368.2752697254332,259904.29696134815,476.8297381122761,36.99020457103351,509.808030863923,0.10614234484906897,1.0
uniform,77,227640.47518563538,1368.5791127514524,260008.63754005576,477.1168144415459,36.99431152608848,509.9103367884534,0.10550104821441159,1.0
uniform,78,228034.45827052434,1370.153301026965,263299.78331941715,477.5295094102741,37.01558031678806,513.113598932349,0.10286199529997886,1.0
uniform,79,228126.02138761344,1367.8321131075531,263360.5855105603,477.6253675410236,36.98421118549366,513.1727920157655,0.10238412938393605,1.0
uniform,80,228412.21961571078,1368.3595296317217,263434.67104503413,477.924909731599,36.99134013557871,513.2450254120895,0.10217758557225992,1.0
