policy,t,median_risk_ratio,q10_risk_ratio,q90_risk_ratio,median_tail_margin_ratio,q10_tail_margin_ratio,q90_tail_margin_ratio,median_lme_error,empirical_ucb_coverage
risk_trace,1,26240.35749543424,26240.250194131466,26240.492620089914,161.98875731184012,161.98842611165603,161.9891743916544,0.9977986015055473,1.0
risk_trace,2,20229.673192331888,20229.470513043554,20229.872695967606,142.23105565358017,142.2303431516761,142.2317569882605,0.9380795078393447,1.0
risk_trace,3,17100.873412336765,17100.62306793695,17101.102999804927,130.77030783911448,130.76935064431936,130.77118566337512,0.9093906228930912,1.0
risk_trace,4,18293.462212403072,18293.158291727286,18293.748919584505,135.25332606780165,135.25220253928148,135.25438595322586,0.7311135077434241,1.0
risk_trace,5,12901.695945802545,12901.58130982317,12901.835210142735,113.5856326557296,113.58512803101983,113.586245690852,0.509549409061129,1.0
risk_trace,6,8709.243798073374,8709.119136010022,8709.394127410138,93.32332933448811,93.32266142802258,93.32413475307514,0.4899804346687676,1.0
risk_trace,7,2658.290865587147,2658.176323482929,2658.3903418460964,51.55861582303207,51.5575050160782,51.55958050491249,0.39041013723855633,1.0
risk_trace,8,2090.485974789493,2090.364859899764,2090.591551089477,45.721832583433795,45.72050808881746,45.72298711900254,0.3740727769185396,1.0
risk_trace,9,1315.0203495548064,1314.986889668352,1315.061697620578,36.263209311294,36.262747960795416,36.26377941721666,0.10742469056186403,1.0
risk_trace,10,1.4025970998144657,1.3686280969478988,1.4446709785759098,1.1843128919609232,1.1698837259802608,1.2019446574666501,0.08510182825394437,1.0
risk_trace,11,1.3108381207669508,1.2840166234207593,1.335868735865538,1.1449183904355285,1.1331445373542526,1.1557978753219431,0.0805311474141712,1.0
risk_trace,12,1.3301480961379033,1.3031308083345083,1.3553306241520529,1.153320465365968,1.1415475170149003,1.164186675150484,0.06914553458038099,1.0
risk_trace,13,1.3022506523873314,1.27504677404874,1.3275779550792832,1.1411619740350722,1.1291796590246874,1.152205685922424,0.02200574507593383,1.0
risk_trace,14,1.2483731272836012,1.2282736882178469,1.2692315444794662,1.1173061886078046,1.108275081073567,1.1266017578715495,0.020030597792695608,1.0
risk_trace,15,1.2289967012864693,1.2089390557704918,1.2500314688232503,1.108601228625272,1.09951764682919,1.118048059784306,0.018510468282051936,1.0
risk_trace,16,1.2143024693383015,1.1935203505712804,1.2319570754788431,1.1019539280505173,1.092483379035877,1.1099356159245903,0.018138129288110164,1.0
risk_trace,17,1.206147710478086,1.187181367466008,1.2225439769801898,1.0982475632899922,1.089578517174877,1.1056871062395792,0.015658452693385696,1.0
risk_trace,18,1.202157804622848,1.1825897591658179,1.2168531987143922,1.096429554856059,1.087469388446758,1.103110690575727,0.015217491431019681,1.0
risk_trace,19,1.185297564904731,1.1693372594600253,1.199478157099021,1.088713720050586,1.0813589869641056,1.0952069012721843,0.015094978776430977,1.0
risk_trace,20,1.1752059550099978,1.163422485999784,1.1892233615076364,1.0840691648796659,1.0786206404434862,1.0905151773707689,0.014661046426476719,1.0
risk_trace,21,1.1693949503511778,1.1557447081337295,1.1832183116465416,1.0813856620625848,1.0750556767006672,1.0877583866948421,0.014553199303318581,1.0
risk_trace,22,1.1673225187143612,1.1554237499095237,1.1819552396344941,1.08042700732816,1.0749063891110895,1.087177646508576,0.01431463199632828,1.0
risk_trace,23,1.1625049335474653,1.1504140157130294,1.175144548683595,1.078195219641651,1.0725735477009344,1.0840408407699982,0.014364873430522635,1.0
risk_trace,24,1.1561917031096758,1.1442246263362756,1.1692534025346715,1.0752635442034288,1.0696843555624378,1.081320210621489,0.0140457070992718,1.0
risk_trace,25,1.154171169351896,1.141560364725858,1.1663408985899506,1.0743235731306786,1.0684382829451162,1.0799726351852543,0.01388729408681436,1.0
risk_trace,26,1.1503451851141584,1.138259737159416,1.1617735234897897,1.072541453238871,1.066892555352189,1.0778559797324792,0.01318730979721757,1.0
risk_trace,27,1.1456005836741885,1.1355860259340043,1.1590170161487134,1.070327325423308,1.065638767533433,1.076576525907998,0.012478997268789423,1.0
risk_trace,28,1.1372620274341347,1.1263860801866976,1.149315012866245,1.0664248810674795,1.0613133750924229,1.072061104266049,0.012447796199261663,1.0
risk_trace,29,1.137683857398668,1.1268822764687478,1.1496520687448666,1.0666226405138848,1.0615471141266883,1.0722182929580717,0.010585623432397542,1.0
risk_trace,30,1.1373091592960225,1.127533773669645,1.149157807824148,1.0664469791007336,1.0618539312711337,1.071987774644874,0.010509882005346572,1.0
risk_trace,31,1.13578694900768,1.125274103207963,1.1454400319084241,1.0657330570407564,1.060789377386779,1.0702522950100526,0.01022889215930163,1.0
risk_trace,32,1.1317753486063917,1.1237479308821121,1.1438304374084973,1.0638493059214063,1.0600697759007391,1.0695000872005602,0.009952757472725561,1.0
risk_trace,33,1.1289382677466953,1.1200011439643796,1.141227803672842,1.0625150634027887,1.05830106489368,1.0682826420936193,0.009904954988686987,1.0
risk_trace,34,1.1277148271870219,1.1191703689339758,1.139522849403032,1.0619391823047448,1.0579084878600766,1.0674843436181498,0.009722514160816053,1.0
